Sexo,Estado civil,Edad,Educacion,Ingreso anual,Ocupacion,Tamano de asentamiento,Ingreso mensual,Nivel socioeconomico,Descripción NSE
0,0,67,3,124670,4,2,10389,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,22,1,150773,4,2,12564,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,49,1,89210,1,0,7434,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,45,1,171565,4,1,14297,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,53,1,149031,4,1,12419,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,35,1,144848,1,0,12070,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,53,1,156495,4,1,13041,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,35,1,193621,4,1,16135,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,61,3,151591,1,0,12632,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,28,1,174646,4,0,14553,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,25,1,108469,4,0,9039,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,24,1,127596,4,0,10633,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,22,1,108687,4,2,9057,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,60,3,89374,1,0,7447,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,28,1,102899,4,1,8574,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,32,1,88428,1,0,7369,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,53,1,125550,4,0,10462,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,25,1,157434,4,2,13119,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,44,3,261952,4,2,21829,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,31,1,144657,4,1,12054,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,48,1,118777,4,1,9898,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,44,1,147511,4,1,12292,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,48,1,89804,1,0,7483,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,44,1,134918,4,2,11243,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,103667,4,2,8638,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,71909,1,0,5992,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,39,1,68264,1,0,5688,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
1,0,42,3,163025,4,1,13585,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,34,1,119307,4,1,9942,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,63,3,175882,4,0,14656,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,36,1,159646,4,1,13303,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,27,1,120131,4,1,10010,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,162745,4,2,13562,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,57,3,87605,1,0,7300,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,33,1,155569,4,1,12964,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,25,1,104505,1,0,8708,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,143385,4,2,11948,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,37,1,127676,4,1,10639,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,37,1,119276,4,1,9939,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,24,1,92542,4,1,7711,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,163329,4,1,13610,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,26,1,130921,4,0,10910,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,44,1,133658,1,0,11138,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,24,1,155104,4,1,12925,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,58,3,142335,1,1,11861,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,35,1,138387,4,1,11532,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,39,1,140182,4,0,11681,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,23,1,65421,1,0,5451,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,39,1,130500,1,0,10875,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,28,1,122831,4,0,10235,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,29,1,84531,1,0,7044,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,180196,4,2,15016,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,25,1,92058,4,2,7671,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,117158,4,0,9763,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,57,3,135830,4,1,11319,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,58258,1,0,4854,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,52,1,202575,4,2,16881,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,31,1,183657,4,1,15304,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,23,1,152267,4,1,12688,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,23,1,115240,1,0,9603,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,106955,4,2,8912,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,50,1,123641,4,1,10303,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,61,3,166410,4,1,13867,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,25,1,227385,4,2,18948,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,26,1,118372,4,1,9864,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,48,1,148115,4,1,12342,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,29,1,111069,4,0,9255,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,22,1,139780,4,0,11648,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,37,1,106978,4,2,8914,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,25,1,110019,4,2,9168,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,30,1,169102,4,1,14091,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,46,1,73703,1,0,6141,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,51,1,141858,4,2,11821,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,41,3,135959,1,0,11329,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,40,1,140888,4,2,11740,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,66,3,157299,4,2,13108,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,34,1,125187,4,1,10432,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,51,1,155486,4,2,12957,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,39,1,151697,1,0,12641,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,22,1,126400,4,1,10533,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,44,3,159246,4,2,13270,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,47,1,136138,4,1,11344,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,24,1,84792,1,0,7066,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,58,3,100210,1,0,8350,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,52,1,93706,1,0,7808,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,29,1,133783,4,1,11148,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,27,1,110064,4,2,9172,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,47,1,241068,4,1,20089,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,30,1,149022,4,2,12418,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,28,1,92973,4,2,7747,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,56,1,110605,4,1,9217,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,54,1,116604,4,1,9717,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,33,1,71070,1,0,5922,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,20,1,128678,4,1,10723,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,54,1,165230,4,2,13769,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,58,3,268340,4,1,22361,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,61,3,135070,4,1,11255,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,34,1,134794,4,2,11232,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,120153,4,1,10012,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,195465,4,2,16288,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,41,1,93372,1,0,7781,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,24,1,110446,4,0,9203,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,24,1,95186,4,1,7932,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,35,1,115343,4,1,9611,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,107276,4,1,8939,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,39,1,244716,4,2,20393,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,39,1,183108,4,2,15259,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
