ID,Sexo,Estado civil,Edad,Educacion,Ingreso anual,Ocupacion,Tamano de asentamiento
100000001,Mujer,soltero/a,67,universidad,124670,empleado/a calificado/a / funcionario/a,2
100000002,Hombre,,22,secundaria,150773,empleado/a calificado/a / funcionario/a,2
100000003,Mujer,soltero/a,49,secundaria,89210,desempleado/a / no calificado/a,0
100000004,Mujer,soltero/a,45,secundaria,171565,empleado/a calificado/a / funcionario/a,1
100000005,Mujer,soltero/a,53,secundaria,149031,empleado/a calificado/a / funcionario/a,1
100000006,Mujer,soltero/a,35,secundaria,144848,desempleado/a / no calificado/a,0
100000007,Mujer,soltero/a,53,secundaria,156495,empleado/a calificado/a / funcionario/a,1
100000008,Mujer,soltero/a,35,secundaria,193621,,1
100000009,Mujer,,61,universidad,151591,desempleado/a / no calificado/a,0
100000010,Mujer,,28,secundaria,174646,,0
100000011,Hombre,,25,secundaria,108469,empleado/a calificado/a / funcionario/a,0
100000012,Hombre,,24,secundaria,127596,empleado/a calificado/a / funcionario/a,0
100000013,Hombre,,22,secundaria,108687,empleado/a calificado/a / funcionario/a,2
100000014,Mujer,soltero/a,60,universidad,89374,desempleado/a / no calificado/a,0
100000015,Hombre,,28,secundaria,102899,empleado/a calificado/a / funcionario/a,1
100000016,Hombre,,32,secundaria,88428,desempleado/a / no calificado/a,0
100000017,Mujer,soltero/a,53,secundaria,125550,empleado/a calificado/a / funcionario/a,0
100000018,Mujer,soltero/a,25,,157434,empleado/a calificado/a / funcionario/a,2
100000019,Hombre,,44,universidad,261952,,2
100000020,Mujer,soltero/a,31,,144657,empleado/a calificado/a / funcionario/a,1
100000021,Mujer,soltero/a,48,secundaria,118777,empleado/a calificado/a / funcionario/a,1
100000022,Mujer,soltero/a,44,secundaria,147511,empleado/a calificado/a / funcionario/a,1
100000023,Mujer,soltero/a,48,secundaria,89804,desempleado/a / no calificado/a,0
100000024,Mujer,soltero/a,44,secundaria,134918,empleado/a calificado/a / funcionario/a,2
100000025,Mujer,,26,secundaria,103667,empleado/a calificado/a / funcionario/a,2
100000026,Mujer,soltero/a,36,secundaria,71909,desempleado/a / no calificado/a,0
100000027,Mujer,,39,secundaria,68264,desempleado/a / no calificado/a,0
100000028,Hombre,,42,universidad,163025,empleado/a calificado/a / funcionario/a,1
100000029,Mujer,soltero/a,34,secundaria,119307,empleado/a calificado/a / funcionario/a,1
100000030,Mujer,soltero/a,63,universidad,175882,empleado/a calificado/a / funcionario/a,0
100000031,Mujer,,36,secundaria,159646,empleado/a calificado/a / funcionario/a,1
100000032,Mujer,soltero/a,27,,120131,empleado/a calificado/a / funcionario/a,1
100000033,Mujer,soltero/a,30,,162745,empleado/a calificado/a / funcionario/a,2
100000034,Mujer,soltero/a,57,universidad,87605,desempleado/a / no calificado/a,0
100000035,Hombre,,33,secundaria,155569,,1
100000036,Mujer,soltero/a,25,,104505,desempleado/a / no calificado/a,0
100000037,Mujer,soltero/a,31,,143385,empleado/a calificado/a / funcionario/a,2
100000038,Mujer,soltero/a,37,secundaria,127676,empleado/a calificado/a / funcionario/a,1
100000039,Mujer,soltero/a,37,secundaria,119276,empleado/a calificado/a / funcionario/a,1
100000040,Mujer,soltero/a,24,,92542,empleado/a calificado/a / funcionario/a,1
100000041,Mujer,soltero/a,30,,163329,,1
100000042,Mujer,,26,secundaria,130921,empleado/a calificado/a / funcionario/a,0
100000043,Mujer,soltero/a,44,secundaria,133658,desempleado/a / no calificado/a,0
100000044,Mujer,,24,secundaria,155104,empleado/a calificado/a / funcionario/a,1
100000045,Hombre,,58,universidad,142335,desempleado/a / no calificado/a,1
100000046,Hombre,,35,secundaria,138387,,1
100000047,Mujer,soltero/a,39,secundaria,140182,empleado/a calificado/a / funcionario/a,0
100000048,Hombre,,23,secundaria,65421,desempleado/a / no calificado/a,0
100000049,Mujer,soltero/a,39,secundaria,130500,desempleado/a / no calificado/a,0
100000050,Hombre,,28,secundaria,122831,empleado/a calificado/a / funcionario/a,0
100000051,Mujer,soltero/a,29,,84531,desempleado/a / no calificado/a,0
100000052,Mujer,soltero/a,30,,180196,,2
100000053,Mujer,soltero/a,25,,92058,empleado/a calificado/a / funcionario/a,2
100000054,Mujer,soltero/a,31,,117158,empleado/a calificado/a / funcionario/a,0
100000055,Mujer,soltero/a,57,universidad,135830,empleado/a calificado/a / funcionario/a,1
100000056,Mujer,soltero/a,26,,58258,desempleado/a / no calificado/a,0
100000057,Mujer,soltero/a,52,secundaria,202575,,2
100000058,Hombre,,31,secundaria,183657,empleado/a calificado/a / funcionario/a,1
100000059,Hombre,,23,secundaria,152267,,1
100000060,Hombre,,23,secundaria,115240,desempleado/a / no calificado/a,0
100000061,Mujer,,27,secundaria,106955,empleado/a calificado/a / funcionario/a,2
